year,month,sst,chlorophyll,wind_speed,pressure,solar_radiation,precipitation,salinity,nitrate,phosphate,silicate,chlorophyll_coverage
2019,1,10.4019239041,5.71725371901,3.21873589744,102351.14359,91.4071723077,0.0805241025641,34.5275172909,2.3612835605,0.236133096853,4.72784604472,0.620512820513
2019,2,6.72268315018,5.69254782609,3.49142666667,102050.038974,91.4097476923,0.162938461538,34.6781488907,2.43354020715,0.306793202974,4.79492420387,0.589743589744
2019,3,5.39040363937,5.40400247934,1.32558820513,101569.174103,175.277290769,0.0993733333333,34.8136632805,2.48773778691,0.358936391937,4.84362423363,0.620512820513
2019,4,6.73165811966,5.4002,1.58668,101077.270513,191.326307692,0.117433333333,34.8625180182,2.49753394306,0.377376670393,4.86960311696,0.625641025641
2019,5,10.3975401158,5.55928934426,1.59129230769,100863.802821,241.298435897,0.102144615385,34.7877539252,2.48007988197,0.358361960576,4.83755232816,0.625641025641
2019,6,15.3960478632,5.3459661157,2.21951128205,100287.356154,205.009953846,0.213628205128,34.6964657699,2.43019179463,0.306746360441,4.79748192792,0.620512820513
2019,7,20.3867179487,6.50567804878,2.52200051282,100092.231282,210.761846154,0.22322,34.5249367373,2.35518621536,0.235902184165,4.70611142916,0.630769230769
2019,8,24.0549644334,6.02498292683,2.53232102564,100139.067179,224.901152821,0.211873846154,34.3659250042,2.28762211133,0.165076188324,4.65577716011,0.630769230769
2019,9,25.3927179487,5.48647479675,3.6383625641,100888.107949,189.815123077,0.207920512821,34.3025608256,2.2376300908,0.114144602043,4.60220663779,0.630769230769
2019,10,24.0384582299,5.97858292683,3.22479846154,101477.023333,151.683842564,0.0847543589744,34.2424180225,2.2213228984,0.0943836009626,4.5774891838,0.630769230769
2019,11,20.3858837607,6.21647398374,3.04904666667,101873.045641,112.994092308,0.0449117948718,34.281586816,2.24084633919,0.113745208641,4.5864820156,0.630769230769
2019,12,15.386688172,6.49620737705,2.98806205128,102198.402051,94.6927112821,0.0797548717949,34.400113298,2.29010688449,0.165258609812,4.64148052348,0.625641025641
